ingredientAName,ingredientBName,label,url,benefitKey
Spinach,Orange,NIH ODS – Iron (Health Professional Fact Sheet),https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,Spinach | Orange
Spinach,Orange,NIH ODS – Vitamin C (Health Professional Fact Sheet),https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,Spinach | Orange
Lentils,Bell Pepper,USDA – Dietary Guidelines,https://www.dietaryguidelines.gov/,Lentils | Bell Pepper
Lentils,Bell Pepper,NIH ODS – Iron (Health Professional Fact Sheet),https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,Lentils | Bell Pepper
Chickpeas,Lemon Juice,Health Canada – Canada's Food Guide,https://food-guide.canada.ca/en/,Chickpeas | Lemon Juice
Chickpeas,Lemon Juice,NIH ODS – Iron (Health Professional Fact Sheet),https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,Chickpeas | Lemon Juice
Kidney Beans,Beef,NHS – Eat well,https://www.nhs.uk/live-well/eat-well/,Kidney Beans | Beef
Kidney Beans,Beef,NIH ODS – Iron (Health Professional Fact Sheet),https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,Kidney Beans | Beef
Iron-Fortified Cereal,Orange Juice,NIH ODS – Iron (Health Professional Fact Sheet),https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,Iron-Fortified Cereal | Orange Juice
Iron-Fortified Cereal,Orange Juice,NIH ODS – Vitamin C (Health Professional Fact Sheet),https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,Iron-Fortified Cereal | Orange Juice
Tofu (Calcium-set),Salmon,NIH ODS – Vitamin D (Health Professional Fact Sheet),https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,Tofu (Calcium-set) | Salmon
Tofu (Calcium-set),Salmon,NIH ODS – Calcium (Health Professional Fact Sheet),https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,Tofu (Calcium-set) | Salmon
Milk,Egg (Yolk),NIH ODS – Vitamin D (Health Professional Fact Sheet),https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/,Milk | Egg (Yolk)
Milk,Egg (Yolk),Health Canada – Canada's Food Guide,https://food-guide.canada.ca/en/,Milk | Egg (Yolk)
Kale,Olive Oil,NIH ODS – Vitamin K (Health Professional Fact Sheet),https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/,Kale | Olive Oil
Kale,Olive Oil,British Nutrition Foundation,https://www.nutrition.org.uk/,Kale | Olive Oil
Carrot,Olive Oil,NIH ODS – Vitamin A & Carotenoids (Health Professional Fact Sheet),https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/,Carrot | Olive Oil
Carrot,Olive Oil,Harvard T.H. Chan – The Nutrition Source,https://www.hsph.harvard.edu/nutritionsource/,Carrot | Olive Oil
Tomato,Olive Oil,Harvard T.H. Chan – The Nutrition Source,https://www.hsph.harvard.edu/nutritionsource/,Tomato | Olive Oil
Tomato,Olive Oil,EFSA – Vitamins & Minerals,https://www.efsa.europa.eu/en/topics/topic/vitamins-and-minerals,Tomato | Olive Oil
